Username,Bet_mean,Bet_std,Bet_sum,Bet_count,CashedOut_mean,CashedOut_std,Profit_mean,Profit_sum,BustedAt_mean,Bonus_mean,Bonus_sum,risk_tolerance,win_rate,Cluster,PlayerType
----------------,10.333333333333334,2.081665999466133,31.0,3.0,0.6733333333333333,0.5831237718815221,0.35,0.7,1.79,2.05,4.1,0.8660254037844387,0.02258064516129032,1,Conservative players
--dilib--,210.75,260.1498194722198,1686.0,8.0,0.5175000000000001,0.9906094805003347,185.685,371.37,3.02,3.25,6.5,1.9142212183581344,0.22026690391459075,1,Conservative players
-31337-,32.5,25.98076211353316,130.0,4.0,0.95,0.6337717780610514,7.166666666666667,21.5,36.629999999999995,0.0,0.0,0.6671281874326858,0.16538461538461538,1,Conservative players
-Nothing-,322.87692307692305,623.1814419696599,20987.0,65.0,0.9193846153846154,0.7041659004699214,90.34071428571428,3794.31,2.7026153846153846,1.7645238095238096,74.11,0.7659100323049681,0.18079334826321056,0,Risk-takers
-Tachyon,1024.8,893.7702165545684,5124.0,5.0,0.978,0.5559856113246098,157.42000000000002,629.6800000000001,1.6960000000000002,2.775,11.1,0.5684924451171879,0.12288836846213896,1,Conservative players
-Y-,16.0,5.656854249492381,32.0,2.0,0.0,0.0,2939.6622407368804,0.0,1.19,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
-ZYBERPH-,1000.0,5220.477516005981,1000.0,1.0,1.22,0.9979762599360468,220.0,220.0,53.77,0.0,0.0,1.0595065232282992,0.22,1,Conservative players
-_-TUYUL-_-,30.4,46.91801359819062,152.0,5.0,1.0,2.23606797749979,48.37,48.37,4.247999999999999,3.08,3.08,2.23606797749979,0.3182236842105263,1,Conservative players
-__---,21775.708333333332,27015.680185176785,522617.0,24.0,1.0895833333333333,0.6195122847970754,9648.53947368421,183322.25,6.974583333333334,1.1068421052631578,21.03,0.5685772403491324,0.35077743356989916,1,Conservative players
-i_,3.0,2.8284271247461903,6.0,2.0,1.14,0.0,0.48,0.96,1.295,1.2,2.4,0.0,0.16,1,Conservative players
-mdK,5000.0,5220.477516005981,5000.0,1.0,1.38,0.9979762599360468,1986.83,1986.83,1.52,1.74,1.74,1.0595065232282992,0.397366,1,Conservative players
-t-,211.85185185185185,360.3674090642347,5720.0,27.0,1.141851851851852,2.279782440762271,530.4954545454545,5835.45,4.573333333333333,1.7127272727272727,18.84,1.9965658741674122,1.0201835664335663,1,Conservative players
-tuyul-,23.0,41.20458932956597,529.0,23.0,1.1956521739130435,2.080696618676623,21.28142857142857,148.97,8.015652173913043,2.182857142857143,15.280000000000001,1.7402189901659029,0.2816068052930057,1,Conservative players
-xAx-,13.142857142857142,17.985443849852313,92.0,7.0,1.2571428571428573,1.3479702554299222,13.8575,55.43,4.304285714285714,2.4425,9.77,1.0722490668192561,0.6025,1,Conservative players
0-----_-----0,2250.0,2310.1226518664907,9000.0,4.0,0.6225,0.7189054179793055,1170.5700000000002,2341.1400000000003,1.46,3.18,6.36,1.1548681413322175,0.26012666666666673,1,Conservative players
010101,20153.666666666668,33957.528477987515,60461.0,3.0,1.0833333333333333,1.0103629710818451,512.5,1025.0,3.0966666666666662,0.0,0.0,0.9326427425370879,0.016953077190254875,1,Conservative players
01010100b,9.022727272727273,4.106085310250245,397.0,44.0,1.0286363636363636,0.848680483084102,4.676129032258065,144.96,5.277727272727272,2.47741935483871,76.8,0.8250539384821143,0.3651385390428212,0,Risk-takers
015ka,266.6666666666667,169.70287760278748,1600.0,6.0,0.7400000000000001,1.3644779221372547,134.17000000000002,268.34000000000003,5.161666666666666,2.17,4.34,1.843889083969263,0.16771250000000001,1,Conservative players
01Nov,220.0,5220.477516005981,220.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.99,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
03K75,1166.6666666666667,763.7626158259734,3500.0,3.0,1.3499999999999999,0.2598076211353316,470.6133333333334,1411.8400000000001,5.0600000000000005,2.28,6.84,0.1924500897298753,0.4033828571428572,1,Conservative players
0on97,4888.888888888889,2315.4073315749674,44000.0,9.0,0.5777777777777778,0.6924192692613662,1717.14,6868.56,4.982222222222223,0.4225,1.69,1.1984179660292875,0.15610363636363636,1,Conservative players
0x0,100.75,199.5,403.0,4.0,0.33,0.66,0.37,0.37,1.03,5.0,5.0,2.0,0.0009181141439205955,1,Conservative players
0x22B,250.0,5220.477516005981,250.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.2,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
1000yen,2.8,2.250925735484551,28.0,10.0,0.7350000000000001,0.5071981861166304,0.17,1.1900000000000002,3.1100000000000003,0.25,1.75,0.6900655593423541,0.0425,1,Conservative players
1017738,3010.6666666666665,2627.6113360490235,9032.0,3.0,4.383333333333334,5.730255957052297,340.2,1020.6,13.076666666666668,0.6266666666666666,1.88,1.3072827278446302,0.11299822852081488,1,Conservative players
1017FickSquad,130.0,147.30919862656236,390.0,3.0,1.1666666666666667,1.0408329997330663,36.06,72.12,2.3033333333333332,2.4699999999999998,4.9399999999999995,0.892142571199771,0.18492307692307694,1,Conservative players
10__________10,600.0,5220.477516005981,600.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.19,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
11-1,11.5,12.020815280171307,23.0,2.0,2.6550000000000002,2.0576807332528535,6.84,13.68,44.225,2.29,4.58,0.7750209918089843,0.5947826086956521,1,Conservative players
1213141516171819,5.5,3.5355339059327378,11.0,2.0,0.0,0.0,2939.6622407368804,0.0,2.895,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
1225,1064.021897810219,3631.710675885469,145771.0,137.0,0.9540875912408759,0.8677816162190994,334.1502380952381,28068.62,7.615620437956204,1.5210714285714286,127.77,0.9095408264250373,0.1925528397280666,0,Risk-takers
12T,479.0,114.5512985522207,958.0,2.0,0.0,0.0,2939.6622407368804,0.0,1.69,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
12alexei12,7.285714285714286,3.9502399426358403,102.0,14.0,0.7999999999999999,0.43421015826263387,0.20181818181818184,2.22,6.548571428571429,0.7181818181818183,7.9,0.5427626978282923,0.021764705882352943,1,Conservative players
136,200.0,5220.477516005981,200.0,1.0,1.36,0.9979762599360468,74.91,74.91,1.39,1.46,1.46,1.0595065232282992,0.37455,1,Conservative players
1981hyunjun,166.66666666666666,57.735026918962575,500.0,3.0,0.7666666666666666,1.3279056191361391,265.03,265.03,4.3933333333333335,2.51,2.51,1.7320508075688772,0.53006,1,Conservative players
19Sebastian,30.0,5220.477516005981,30.0,1.0,1.1,0.9979762599360468,3.63,3.63,3.13,2.1,2.1,1.0595065232282992,0.121,1,Conservative players
1Chance,10166.666666666666,13041.600106326421,30500.0,3.0,1.2433333333333334,0.051316014394468895,3067.646666666667,9202.94,269.71666666666664,2.35,7.05,0.041272933829331546,0.30173573770491807,1,Conservative players
1basicperson,2750.0,353.5533905932738,5500.0,2.0,1.96,0.6081118318204308,2582.3199999999997,5164.639999999999,6.265,1.995,3.99,0.31026113868389327,0.9390254545454544,1,Conservative players
1mbitdream,32503.0,5220.477516005981,32503.0,1.0,1.3,0.9979762599360468,9750.9,9750.9,4.26,0.0,0.0,1.0595065232282992,0.3,1,Conservative players
1ozweed,1450.0,1370.766209096212,8700.0,6.0,1.5250000000000001,2.556620816624945,3209.015,6418.03,113.31333333333333,4.8149999999999995,9.629999999999999,1.6764726666393082,0.7377045977011494,1,Conservative players
207Clark,24.833333333333332,35.58046791386669,298.0,12.0,1.0183333333333333,0.32070471644725645,2.92,32.12,2.8375,0.34363636363636363,3.78,0.31493098178126655,0.10778523489932886,1,Conservative players
20bn,2500.0,5220.477516005981,2500.0,1.0,2.51,0.9979762599360468,3853.45,3853.45,3.83,3.14,3.14,1.0595065232282992,1.54138,1,Conservative players
224455,73.5,51.59780357082396,294.0,4.0,2.8275,4.8213786064430435,227.885,455.77,39.005,1.43,2.86,1.7051736892813592,1.5502380952380952,1,Conservative players
2273,5.0,5220.477516005981,5.0,1.0,1.05,0.9979762599360468,0.39,0.39,1.09,2.8,2.8,1.0595065232282992,0.078,1,Conservative players
2340,200.0,5220.477516005981,200.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.31,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
25redswin,3.3333333333333335,4.041451884327381,10.0,3.0,0.5,0.8660254037844386,0.55,0.55,1.6900000000000002,5.0,5.0,1.7320508075688772,0.05500000000000001,1,Conservative players
27smouc27,100.0,5220.477516005981,100.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.03,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
28Anton,2.0,0.0,6.0,3.0,1.3333333333333333,1.1547005383792517,2.0,4.0,12.249999999999998,0.0,0.0,0.8660254037844388,0.6666666666666666,1,Conservative players
28UG,15500.0,20506.096654409877,31000.0,2.0,1.07,0.04242640687119289,1017.16,2034.32,1.8,1.225,2.45,0.03965084754317092,0.06562322580645161,1,Conservative players
2n6n8n8,55507.0,78365.81613178032,111014.0,2.0,0.68,0.9616652224137048,43756.06,43756.06,7.345000000000001,3.45,3.45,1.4142135623730951,0.39414902624894155,1,Conservative players
300Goal,1651.0,2592.7630049813656,8255.0,5.0,0.0,0.0,2939.6622407368804,0.0,1.468,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
3777,18.0,22.627416997969522,36.0,2.0,2.02,1.0323759005323594,30.04,60.08,7.074999999999999,0.0,0.0,0.511077178481366,1.6688888888888889,1,Conservative players
